location_id,sentiment_label,rating
5432711,positivo,4
5432711,positivo,4
5432711,positivo,4
5432711,positivo,5
5744133,positivo,5
5432711,positivo,5
24115389,positivo,5
14154834,positivo,5
14154834,positivo,4
5432711,positivo,5
5744133,positivo,4
5586624,negativo,1
5744133,positivo,4
5746477,negativo,1
5663516,positivo,4
16787688,positivo,5
16787688,positivo,5
5432711,negativo,3
15117548,positivo,5
5663516,positivo,4
24020225,positivo,5
5746477,positivo,4
23506786,positivo,4
23506786,positivo,4
5701311,positivo,4
6004414,positivo,4
8120221,positivo,4
5701311,positivo,4
5453795,negativo,1
5701560,positivo,4
24970266,positivo,5
5453795,negativo,2
8173785,positivo,4
17370850,positivo,5
5893032,positivo,5
5746477,positivo,4
10472476,positivo,5
19695376,positivo,5
23965431,positivo,5
5639430,positivo,1
6004414,positivo,3
6035633,positivo,5
26834946,positivo,4
5893032,negativo,1
5639430,positivo,5
5747716,positivo,4
5432711,positivo,5
5453795,negativo,1
5893032,positivo,4
5747716,positivo,5
778040,negativo,1
5747716,negativo,2
5453795,negativo,1
5453795,positivo,4
5453795,positivo,5
896891,positivo,5
5747716,positivo,5
5701560,positivo,5
5893032,negativo,1
2325605,positivo,5
5453795,negativo,3
5453795,positivo,5
5453795,positivo,3
5453795,negativo,2
5926228,positivo,5
5453795,positivo,5
5453795,positivo,5
5648473,positivo,4
5926228,negativo,1
5453795,positivo,5
5702551,positivo,5
5586624,positivo,5
5702551,negativo,4
5639430,negativo,2
5964325,positivo,5
5639430,positivo,4
6004202,positivo,4
6035633,positivo,4
6500085,positivo,3
5716264,positivo,5
5453795,negativo,3
5453795,negativo,3
5453795,negativo,3
5453795,positivo,5
5453795,positivo,4
5607464,positivo,5
5453795,positivo,4
5453795,positivo,5
5453795,positivo,5
5453795,positivo,5
5481442,positivo,5
5481442,positivo,5
5453795,negativo,1
5453795,negativo,3
6869276,positivo,5
11914373,positivo,5
5716264,positivo,5
5716264,negativo,2
5481442,positivo,5
5481442,positivo,4
5481442,negativo,3
5716264,positivo,4
5716264,positivo,4
5663516,positivo,4
5481442,negativo,2
5481442,positivo,5
5481442,positivo,5
5701311,positivo,4
7065561,positivo,5
5481442,positivo,5
5481442,negativo,3
7065561,positivo,5
5481442,positivo,5
5481442,positivo,5
5481442,positivo,5
5663516,positivo,4
5481442,positivo,5
5481442,positivo,5
5481442,positivo,5
5481442,positivo,5
5481442,neutro,4
5481442,positivo,5
5481442,positivo,5
5481442,positivo,5
5648473,positivo,4
5481442,positivo,5
5481442,positivo,4
5481442,positivo,5
5489789,positivo,5
5663516,positivo,5
21369188,positivo,5
21369188,positivo,5
23404451,positivo,5
23404451,positivo,4
23404451,negativo,2
23404451,positivo,5
23404451,positivo,5
23404451,positivo,5
23404451,positivo,5
23404451,positivo,5
23404451,positivo,5
23404451,positivo,5
23404451,negativo,1
23404451,negativo,1
23404451,positivo,5
23404451,positivo,4
23404451,positivo,5
23404451,positivo,5
23404451,positivo,5
23404451,positivo,5
23404451,positivo,5
23404451,positivo,5
23404451,positivo,5
23404451,positivo,5
23404451,positivo,5
23404451,positivo,5
23404451,positivo,4
14154834,positivo,4
14154834,negativo,1
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
14154834,positivo,5
23756754,positivo,5
23756754,positivo,5
23756754,positivo,5
23756754,positivo,5
23756754,positivo,5
23540198,positivo,5
23540198,positivo,5
23540198,positivo,5
23540198,positivo,5
23540198,positivo,5
23540198,positivo,5
23540198,positivo,5
23540198,positivo,5
23540198,positivo,5
23540198,positivo,5
23540198,positivo,5
23540198,negativo,1
23540198,positivo,5
23540198,positivo,5
23540198,positivo,5
23540198,positivo,5
23540198,positivo,5
23540198,positivo,4
23540198,negativo,2
23540198,negativo,2
23540198,positivo,5
23540198,positivo,5
23540198,positivo,4
19456959,positivo,5
19456959,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,negativo,1
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
16787688,positivo,5
3847703,positivo,5
5481442,positivo,5
5648573,positivo,5
16787688,positivo,5
16787688,positivo,5
6013297,positivo,4
6013297,positivo,4
6013297,positivo,4
6013297,positivo,4
24020225,positivo,5
24020225,positivo,5
24020225,positivo,5
24020225,positivo,5
24020225,positivo,5
24020225,positivo,5
24020225,positivo,5
24020225,positivo,4
24020225,positivo,5
24020225,positivo,5
24020225,positivo,5
23654568,positivo,5
23654568,positivo,4
23654568,positivo,5
23654568,neutro,3
15117548,positivo,4
23506786,negativo,1
23506786,positivo,4
23506786,positivo,1
23506786,positivo,5
23506786,negativo,1
5648573,positivo,4
23506786,negativo,1
23506786,positivo,5
23506786,negativo,3
23506786,negativo,3
23506786,positivo,5
23506786,negativo,2
23506786,positivo,5
23506786,positivo,4
23506786,positivo,5
23506786,negativo,2
23506786,negativo,1
5648573,positivo,4
23506786,positivo,5
23506786,positivo,5
23506786,positivo,3
23506786,positivo,5
23506786,negativo,1
23506786,negativo,1
23506786,positivo,5
22998357,positivo,5
22998357,positivo,5
22998357,positivo,5
22998357,positivo,5
22998357,positivo,5
22998357,positivo,5
22998357,positivo,5
22998357,positivo,5
15117548,positivo,5
15117548,positivo,5
15117548,positivo,5
15117548,positivo,5
15117548,positivo,5
15117548,negativo,3
15117548,positivo,5
15117548,positivo,5
15117548,positivo,5
15117548,positivo,5
15117548,positivo,5
15117548,positivo,5
15117548,positivo,5
15117548,negativo,2
15117548,negativo,2
15117548,negativo,2
15117548,positivo,5
15117548,positivo,3
15117548,negativo,2
15117548,negativo,3
15117548,positivo,5
15117548,positivo,5
15117548,positivo,5
19695376,negativo,1
24970266,negativo,1
24970266,positivo,5
24970266,positivo,5
24970266,positivo,4
24970266,positivo,4
24970266,negativo,1
23914569,positivo,5
23965431,positivo,5
23914569,positivo,5
17370850,positivo,5
17370850,negativo,2
17370850,positivo,5
17370850,positivo,4
17370850,positivo,5
17370850,positivo,5
17370850,positivo,4
17370850,negativo,2
17370850,positivo,5
17370850,positivo,5
17370850,positivo,5
17370850,positivo,5
17370850,positivo,5
17370850,positivo,5
17370850,positivo,5
17370850,positivo,5
17370850,positivo,5
17370850,positivo,5
17370850,positivo,5
17370850,positivo,5
17370850,positivo,5
17370850,positivo,5
17370850,positivo,5
17370850,positivo,5
23976765,negativo,3
23976765,positivo,5
23976765,positivo,5
23976765,positivo,5
23976765,negativo,2
23976765,negativo,4
23976765,positivo,5
23976765,negativo,3
23976765,positivo,5
23976765,positivo,5
23976765,positivo,5
23914569,positivo,5
23914569,positivo,4
23914569,positivo,5
23914569,positivo,5
23914569,positivo,5
23914569,positivo,5
23914569,positivo,5
23914569,positivo,5
23914569,positivo,5
23914569,positivo,5
5649443,positivo,5
7097633,positivo,4
23914569,positivo,5
23914569,positivo,5
15058417,positivo,5
15058417,negativo,3
15058417,negativo,1
15058417,positivo,4
15058417,positivo,5
15058417,positivo,5
15058417,positivo,4
15058417,positivo,4
15058417,positivo,5
15058417,positivo,5
15058417,positivo,5
15058417,positivo,5
15058417,positivo,5
5649443,positivo,4
15058417,positivo,3
15058417,positivo,4
15058417,positivo,5
15058417,positivo,5
15058417,positivo,5
15058417,positivo,5
15058417,positivo,5
15058417,positivo,5
15058417,positivo,5
15058417,positivo,5
15058417,positivo,5
15058417,positivo,5
19695376,negativo,2
19695376,positivo,5
19695376,positivo,5
19695376,positivo,4
5649443,positivo,3
19695376,positivo,4
19695376,positivo,5
19695376,positivo,5
19695376,positivo,5
19695376,positivo,5
19695376,positivo,5
19695376,positivo,5
19695376,positivo,4
19695376,positivo,5
19695376,positivo,5
19695376,positivo,5
19695376,negativo,1
19695376,negativo,1
19695376,positivo,4
19695376,positivo,5
19695376,positivo,5
19695376,positivo,5
19695376,positivo,5
19695376,positivo,5
23965431,positivo,5
23965431,positivo,5
23965431,negativo,3
23965431,positivo,5
23965431,positivo,5
23965431,positivo,4
23965431,positivo,4
23965431,positivo,5
23965431,positivo,4
23965431,positivo,5
26834946,positivo,5
26586190,positivo,5
26586190,positivo,5
26586190,positivo,4
25126017,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
25126017,positivo,5
7133371,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
16819818,positivo,5
23545054,negativo,1
23545054,negativo,2
23545054,positivo,5
25126017,positivo,5
25126017,neutro,3
25126017,positivo,5
25126017,positivo,4
25126017,positivo,5
25126017,positivo,5
25126017,positivo,5
25126017,positivo,5
25126017,positivo,5
25126017,positivo,5
2325605,negativo,3
2325605,positivo,4
2325605,positivo,5
2325605,positivo,4
2325605,positivo,5
4536872,positivo,4
4536872,neutro,3
19853817,positivo,5
5361261,negativo,1
5361261,positivo,4
5361261,positivo,5
5361261,positivo,4
5361261,neutro,3
5361261,negativo,1
5361261,positivo,3
5361261,positivo,5
5361261,positivo,5
5361261,positivo,4
5361261,positivo,4
5361261,positivo,4
5361261,positivo,3
5361261,positivo,5
5361261,positivo,4
5361261,positivo,5
5361261,positivo,4
5361261,positivo,4
5361261,negativo,2
5381487,positivo,5
5381487,positivo,5
23161540,positivo,5
5385711,positivo,5
5385711,positivo,4
5385711,negativo,2
5385711,positivo,5
5385711,positivo,4
5385711,positivo,4
5385711,positivo,4
5385711,positivo,4
5385711,positivo,4
5385711,positivo,4
5385711,positivo,3
5385711,neutro,4
5385711,positivo,4
5385711,positivo,4
5385711,positivo,4
5385711,positivo,4
5385711,positivo,3
5385711,positivo,4
5397934,positivo,5
5397934,negativo,3
5397934,neutro,3
5397934,positivo,5
5397934,positivo,4
5397934,neutro,5
5397934,positivo,5
5634443,neutro,3
23959485,positivo,5
6020304,negativo,3
6020304,positivo,5
6020304,positivo,4
6020304,positivo,4
6020304,positivo,4
6020304,positivo,4
9780970,positivo,5
9780970,positivo,5
13510173,positivo,4
13510173,negativo,3
13510173,negativo,1
13510173,negativo,2
7604451,negativo,2
14053303,positivo,5
14053303,positivo,5
14053303,positivo,5
14053303,positivo,5
14159022,positivo,5
14159022,positivo,5
14159022,positivo,4
